geoid,region_type,region_name,year,measure,value,measure_type,measure_units
33,health district,Virginia Beach,2013,Food_Insecurity_Rate,11.07,percent,NA
11,health district,Eastern Shore,2012,Num_Child_Food_Insecure,1940,count,NA
51750,county,"Radford city, Virginia",2018,Child_Food_Insecurity_Rate,15.2,percent,NA
51077,county,"Grayson County, Virginia",2018,Num_Child_Food_Insecure,630,count,NA
51169,county,"Scott County, Virginia",2011,Cost_Per_Meal,2.67,cost,NA
51580,county,"Covington city, Virginia",2010,Food_Insecurity_Rate,15.9,percent,NA
51193,county,"Westmoreland County, Virginia",2014,Child_Food_Insecurity_Rate,15.5,percent,NA
32,health district,Three Rivers,2010,Cost_Per_Meal,NA,cost,NA
51115,county,"Mathews County, Virginia",2019,Cost_Per_Meal,3.26,cost,NA
51081,county,"Greensville County, Virginia",2011,Food_Insecurity_Rate,18.7,percent,NA
51141,county,"Patrick County, Virginia",2010,Food_Insecurity_Rate,14.5,percent,NA
7,health district,Chesterfield,2017,Num_Food_Insecure,32600,count,NA
51740,county,"Portsmouth city, Virginia",2011,Num_Food_Insecure,18130,count,NA
51133,county,"Northumberland County, Virginia",2013,Food_Insecurity_Rate,12.8,percent,NA
51031,county,"Campbell County, Virginia",2014,Num_Food_Insecure,6490,count,NA
51680,county,"Lynchburg city, Virginia",2011,Num_Child_Food_Insecure,3000,count,NA
51840,county,"Winchester city, Virginia",2017,Child_Food_Insecurity_Rate,14.1,percent,NA
51750,county,"Radford city, Virginia",2016,Cost_Per_Meal,3.27,cost,NA
51093,county,"Isle of Wight County, Virginia",2014,Child_Food_Insecurity_Rate,16.4,percent,NA
35,health district,Western Tidewater,2019,Num_Child_Food_Insecure,4750,count,NA
6,health district,Chesapeake,2012,Cost_Per_Meal,2.82962304458756,cost,NA
51119,county,"Middlesex County, Virginia",2015,Cost_Per_Meal,3.35,cost,NA
12,health district,Fairfax,2014,Cost_Per_Meal,3.47209060263355,cost,NA
51800,county,"Suffolk city, Virginia",2010,Num_Child_Food_Insecure,2920,count,NA
23,health district,Pittsylvania-Danville,2019,Num_Child_Food_Insecure,4450,count,NA
51095,county,"James City County, Virginia",2019,Num_Food_Insecure,5750,count,NA
51001,county,"Accomack County, Virginia",2018,Child_Food_Insecurity_Rate,19,percent,NA
51005,county,"Alleghany County, Virginia",2014,Child_Food_Insecurity_Rate,19.4,percent,NA
51750,county,"Radford city, Virginia",2016,Num_Child_Food_Insecure,360,count,NA
51630,county,"Fredericksburg city, Virginia",2013,Num_Child_Food_Insecure,950,count,NA
51840,county,"Winchester city, Virginia",2011,Cost_Per_Meal,2.79,cost,NA
51069,county,"Frederick County, Virginia",2016,Child_Food_Insecurity_Rate,10.8,percent,NA
51027,county,"Buchanan County, Virginia",2018,Num_Food_Insecure,4080,count,NA
51195,county,"Wise County, Virginia",2015,Food_Insecurity_Rate,15.1,percent,NA
8,health district,Chickahominy,2011,Cost_Per_Meal,2.89731690660256,cost,NA
51600,county,"Fairfax city, Virginia",2010,Cost_Per_Meal,NA,cost,NA
51083,county,"Halifax County, Virginia",2010,Child_Food_Insecurity_Rate,21.4,percent,NA
51111,county,"Lunenburg County, Virginia",2011,Cost_Per_Meal,2.56,cost,NA
51183,county,"Sussex County, Virginia",2013,Num_Child_Food_Insecure,270,count,NA
51013,county,"Arlington County, Virginia",2018,Child_Food_Insecurity_Rate,4.1,percent,NA
31,health district,Thomas Jefferson,2010,Num_Child_Food_Insecure,6930,count,NA
51103,county,"Lancaster County, Virginia",2018,Cost_Per_Meal,3.35,cost,NA
16,health district,Lord Fairfax,2011,Num_Food_Insecure,21380,count,NA
51153,county,"Prince William County, Virginia",2011,Food_Insecurity_Rate,8.4,percent,NA
51161,county,"Roanoke County, Virginia",2013,Child_Food_Insecurity_Rate,14.8,percent,NA
51037,county,"Charlotte County, Virginia",2018,Child_Food_Insecurity_Rate,24.5,percent,NA
16,health district,Lord Fairfax,2012,Num_Child_Food_Insecure,9020,count,NA
51185,county,"Tazewell County, Virginia",2019,Cost_Per_Meal,2.87,cost,NA
51063,county,"Floyd County, Virginia",2011,Food_Insecurity_Rate,9.5,percent,NA
51775,county,"Salem city, Virginia",2018,Num_Food_Insecure,2340,count,NA
51685,county,"Manassas Park city, Virginia",2015,Num_Food_Insecure,570,count,NA
51101,county,"King William County, Virginia",2017,Cost_Per_Meal,3.12,cost,NA
8,health district,Chickahominy,2012,Num_Food_Insecure,11510,count,NA
51029,county,"Buckingham County, Virginia",2019,Food_Insecurity_Rate,11.3,percent,NA
51680,county,"Lynchburg city, Virginia",2015,Food_Insecurity_Rate,18.6,percent,NA
51111,county,"Lunenburg County, Virginia",2012,Num_Food_Insecure,2100,count,NA
51081,county,"Greensville County, Virginia",2018,Child_Food_Insecurity_Rate,18.9,percent,NA
51027,county,"Buchanan County, Virginia",2019,Num_Food_Insecure,4430,count,NA
51007,county,"Amelia County, Virginia",2014,Num_Food_Insecure,1480,count,NA
51135,county,"Nottoway County, Virginia",2016,Child_Food_Insecurity_Rate,15.8,percent,NA
51149,county,"Prince George County, Virginia",2015,Child_Food_Insecurity_Rate,14.5,percent,NA
51101,county,"King William County, Virginia",2018,Food_Insecurity_Rate,8.1,percent,NA
23,health district,Pittsylvania-Danville,2016,Num_Child_Food_Insecure,3970,count,NA
51113,county,"Madison County, Virginia",2017,Num_Child_Food_Insecure,330,count,NA
15,health district,Lenowisco,2015,Food_Insecurity_Rate,14.2,percent,NA
51153,county,"Prince William County, Virginia",2012,Num_Child_Food_Insecure,14200,count,NA
51019,county,"Bedford County, Virginia",2019,Child_Food_Insecurity_Rate,10.7,percent,NA
23,health district,Pittsylvania-Danville,2012,Num_Food_Insecure,17390,count,NA
51105,county,"Lee County, Virginia",2017,Child_Food_Insecurity_Rate,21.9,percent,NA
51195,county,"Wise County, Virginia",2013,Food_Insecurity_Rate,15,percent,NA
51580,county,"Covington city, Virginia",2010,Num_Child_Food_Insecure,330,count,NA
51099,county,"King George County, Virginia",2014,Child_Food_Insecurity_Rate,13.8,percent,NA
12,health district,Fairfax,2016,Child_Food_Insecurity_Rate,8.65,percent,NA
51053,county,"Dinwiddie County, Virginia",2018,Num_Child_Food_Insecure,880,count,NA
51720,county,"Norton city, Virginia",2016,Cost_Per_Meal,2.86,cost,NA
51550,county,"Chesapeake city, Virginia",2017,Cost_Per_Meal,2.95,cost,NA
51830,county,"Williamsburg city, Virginia",2016,Food_Insecurity_Rate,15.7,percent,NA
51620,county,"Franklin city, Virginia",2013,Food_Insecurity_Rate,22.6,percent,NA
51750,county,"Radford city, Virginia",2019,Cost_Per_Meal,3.25,cost,NA
17,health district,Loudoun,2010,Cost_Per_Meal,NA,cost,NA
51730,county,"Petersburg city, Virginia",2017,Num_Food_Insecure,8280,count,NA
11,health district,Eastern Shore,2010,Cost_Per_Meal,NA,cost,NA
51600,county,"Fairfax city, Virginia",2014,Child_Food_Insecurity_Rate,10.8,percent,NA
51165,county,"Rockingham County, Virginia",2013,Cost_Per_Meal,2.73,cost,NA
51171,county,"Shenandoah County, Virginia",2010,Num_Child_Food_Insecure,1610,count,NA
51700,county,"Newport News city, Virginia",2018,Food_Insecurity_Rate,13.2,percent,NA
51077,county,"Grayson County, Virginia",2019,Child_Food_Insecurity_Rate,21.8,percent,NA
51051,county,"Dickenson County, Virginia",2016,Food_Insecurity_Rate,14.7,percent,NA
51131,county,"Northampton County, Virginia",2014,Num_Food_Insecure,2130,count,NA
51181,county,"Surry County, Virginia",2013,Num_Food_Insecure,1000,count,NA
51007,county,"Amelia County, Virginia",2012,Num_Child_Food_Insecure,350,count,NA
51115,county,"Mathews County, Virginia",2019,Child_Food_Insecurity_Rate,14.2,percent,NA
51520,county,"Bristol city, Virginia",2012,Num_Child_Food_Insecure,940,count,NA
51063,county,"Floyd County, Virginia",2015,Food_Insecurity_Rate,8.4,percent,NA
51197,county,"Wythe County, Virginia",2017,Num_Food_Insecure,3170,count,NA
51143,county,"Pittsylvania County, Virginia",2015,Child_Food_Insecurity_Rate,18.5,percent,NA
51740,county,"Portsmouth city, Virginia",2017,Num_Food_Insecure,17750,count,NA
51620,county,"Franklin city, Virginia",2012,Num_Child_Food_Insecure,430,count,NA
51127,county,"New Kent County, Virginia",2011,Food_Insecurity_Rate,7.7,percent,NA
51031,county,"Campbell County, Virginia",2014,Child_Food_Insecurity_Rate,19,percent,NA
51169,county,"Scott County, Virginia",2013,Cost_Per_Meal,2.83,cost,NA
16,health district,Lord Fairfax,2013,Num_Food_Insecure,22250,count,NA
8,health district,Chickahominy,2018,Cost_Per_Meal,3.22389223951648,cost,NA
51159,county,"Richmond County, Virginia",2017,Num_Food_Insecure,1160,count,NA
51065,county,"Fluvanna County, Virginia",2016,Num_Food_Insecure,2080,count,NA
51600,county,"Fairfax city, Virginia",2013,Food_Insecurity_Rate,6.2,percent,NA
51790,county,"Staunton city, Virginia",2016,Food_Insecurity_Rate,12.7,percent,NA
51037,county,"Charlotte County, Virginia",2019,Num_Child_Food_Insecure,620,count,NA
51019,county,"Bedford County, Virginia",2013,Num_Child_Food_Insecure,2490,count,NA
