geoid,region_type,region_name,year,measure,value,measure_type,measure_units
51113,county,"Madison County, Virginia",2015,avg_overdose_per_100k,9.51728338663012,rate per 100k,NA
51157,county,"Rappahannock County, Virginia",2018,avg_overdose_per_100k,9.1062241041752,rate per 100k,NA
51580,county,"Covington city, Virginia",2019,avg_overdose_per_100k,17.350183185655,rate per 100k,NA
27,health district,Rappahannock Rapidan,2019,avg_overdose_per_100k,16.1576991436419,rate per 100k,NA
51107,county,"Loudoun County, Virginia",2019,avg_overdose_per_100k,7.15936495176849,rate per 100k,NA
51019,county,"Bedford County, Virginia",2017,avg_overdose_per_100k,11.3287352422434,rate per 100k,NA
51109,county,"Louisa County, Virginia",2016,avg_overdose_per_100k,26.4880614523026,rate per 100k,NA
51063,county,"Floyd County, Virginia",2021,avg_overdose_per_100k,0,rate per 100k,NA
51001,county,"Accomack County, Virginia",2020,avg_overdose_per_100k,14.912172446419,rate per 100k,NA
51099,county,"King George County, Virginia",2017,avg_overdose_per_100k,17.7405444862918,rate per 100k,NA
51061,county,"Fauquier County, Virginia",2019,avg_overdose_per_100k,16.4351351999808,rate per 100k,NA
51115,county,"Mathews County, Virginia",2016,avg_overdose_per_100k,17.0803917103166,rate per 100k,NA
22,health district,Piedmont,2018,avg_overdose_per_100k,10.2552081807261,rate per 100k,NA
51185,county,"Tazewell County, Virginia",2018,avg_overdose_per_100k,18.0476132538427,rate per 100k,NA
51121,county,"Montgomery County, Virginia",2021,avg_overdose_per_100k,17.9819153308672,rate per 100k,NA
51131,county,"Northampton County, Virginia",2015,avg_overdose_per_100k,13.0261894967777,rate per 100k,NA
51580,county,"Covington city, Virginia",2020,avg_overdose_per_100k,30.2732776959581,rate per 100k,NA
51005,county,"Alleghany County, Virginia",2016,avg_overdose_per_100k,14.6039564881037,rate per 100k,NA
51017,county,"Bath County, Virginia",2015,avg_overdose_per_100k,7.45712155108128,rate per 100k,NA
51155,county,"Pulaski County, Virginia",2021,avg_overdose_per_100k,30.1231375084492,rate per 100k,NA
51680,county,"Lynchburg city, Virginia",2016,avg_overdose_per_100k,11.012483585166,rate per 100k,NA
51083,county,"Halifax County, Virginia",2020,avg_overdose_per_100k,16.3638139898398,rate per 100k,NA
51153,county,"Prince William County, Virginia",2019,avg_overdose_per_100k,8.84321758792845,rate per 100k,NA
51159,county,"Richmond County, Virginia",2019,avg_overdose_per_100k,20.5093783793862,rate per 100k,NA
51051,county,"Dickenson County, Virginia",2019,avg_overdose_per_100k,19.1674559148514,rate per 100k,NA
51095,county,"James City County, Virginia",2020,avg_overdose_per_100k,18.1071682570433,rate per 100k,NA
19,health district,New River,2018,avg_overdose_per_100k,11.7946223808197,rate per 100k,NA
51145,county,"Powhatan County, Virginia",2018,avg_overdose_per_100k,13.4027947740755,rate per 100k,NA
51191,county,"Washington County, Virginia",2016,avg_overdose_per_100k,8.31296072535851,rate per 100k,NA
51109,county,"Louisa County, Virginia",2015,avg_overdose_per_100k,17.5808720112518,rate per 100k,NA
51031,county,"Campbell County, Virginia",2018,avg_overdose_per_100k,4.24165303278192,rate per 100k,NA
51660,county,"Harrisonburg city, Virginia",2015,avg_overdose_per_100k,15.3154733307405,rate per 100k,NA
51115,county,"Mathews County, Virginia",2018,avg_overdose_per_100k,0.949234916657174,rate per 100k,NA
51027,county,"Buchanan County, Virginia",2019,avg_overdose_per_100k,15.4937869914164,rate per 100k,NA
51087,county,"Henrico County, Virginia",2019,avg_overdose_per_100k,20.204453824055,rate per 100k,NA
15,health district,Lenowisco,2021,avg_overdose_per_100k,18.3999269149756,rate per 100k,NA
51540,county,"Charlottesville city, Virginia",2016,avg_overdose_per_100k,18.3150183150183,rate per 100k,NA
